מספר חברה,שם חברה,שם באנגלית,סוג תאגיד,סטטוס חברה,תאור חברה,מטרת החברה,תאריך התאגדות,חברה ממשלתית,מגבלות,מפרה,שנה אחרונה של דוח שנתי (שהוגש),city,street,number,מיקוד,ת.ד.,מדינה,אצל,תת סטטוס,TAB_Changes_Dates.latest_change,Year,Month
510001340,חברה ישראלית למסחר חליפין בעמ,ISRAEL BARTER TRADING CO.LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,24.08.37 00:00,לא,מוגבלת,,2021,בנימינה,הטחנה,56,,,ישראל,,,30.05.2018,2018,5
510001886,כ.צ.ט. בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.02.38 00:00,לא,מוגבלת,,2022,הוד השרון,החרש,4,4524075,,ישראל,,,23.12.2020,2020,12
510025307,מזל טוב חברה להשקעות בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,18.01.45 00:00,לא,מוגבלת,מפרה,2018,הוד השרון,חמנית,3,4502342,,ישראל,,,14.08.2012,2012,8
510029267,החברה המאוחדת להפצה ולמסחר בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,30.09.45 00:00,לא,מוגבלת,,2022,ראש העין,המלאכה,12,4809126,,ישראל,דנשר 1963 בע~מ,,17.01.2012,2012,1
510046410,שלעמי בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,02.02.48 00:00,לא,מוגבלת,,2021,ראש העין,גבורי ישראל,10,4801610,,ישראל,אילנה הולנדר,,28.02.2022,2022,2
510100936,שלמה ונציה בניו בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,18.04.52 00:00,לא,מוגבלת,,2021,ראש העין,המלאכה,18,4809148,,ישראל,,,03.08.2021,2021,8
510107378,החברה לפיתוח קיסריה אדמונד בנימין דה רוטשילד בע~מ,THE CAESAREA EDMOND BENJAMIN DE ROTHSCHILD DEVELOPMENT CORPORATION L,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,07.11.52 00:00,לא,מוגבלת,מפרה,2018,קיסריה,האשל,2,3088900,,ישראל,פארק תעשייה,,24.11.2017,2017,11
510130487,לפידות מדיקל יבוא ושיווק בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,28.11.54 00:00,לא,מוגבלת,,2020,קיסריה,השיטה,8,3088900,,ישראל,אזור התעשיה צפוני,,30.08.2021,2021,8
510141583,סנטוריום גן שלוה רמתיים בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,06.11.55 00:00,לא,מוגבלת,,2021,הוד השרון,ארלוזורוב,5,4520305,,ישראל,,,27.12.2021,2021,12
510147440,אינג מ- בן חורין אדריכל נכסים חברה בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,09.04.56 00:00,לא,מוגבלת,מפרה,2016,סביון,סמ הגבעה,20,5651119,,ישראל,מרדכי בן חורין,,16.04.2019,2019,4
510164106,דנישרא יזום ופתוח נדל~ן  בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,07.06.57 00:00,לא,מוגבלת,,2021,ראש העין,עמל,13,4809249,,ישראל,,,03.05.2018,2018,5
510165558,יהלומי ראש העין בע'מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,28.06.57 00:00,לא,מוגבלת,,2022,אבן יהודה,המתמיד,22,4052922,,ישראל,בר חיים מאיר,,22.10.2020,2020,10
510175623,חברת הכובש בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,10.01.58 00:00,לא,מוגבלת,מפרה,2016,ראש העין,המרץ,25,4801725,,ישראל,,,19.04.2016,2016,4
510180185,אחוזת קונסול בע'מ ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,27.03.58 00:00,לא,מוגבלת,,2022,הוד השרון,חנקין,11,4531211,,ישראל,גליה רוזנבאום,,16.05.2021,2021,5
510180706,נוה שלוה בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,03.04.58 00:00,לא,מוגבלת,,2021,פרדס חנה-כרכור,תדהר,1,3701042,,ישראל,פרדס חנה כרכור נוה שלוה בעמ,,19.04.2017,2017,4
510203698,תעשית מבלטים אנגלנדר יוסף בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,13.04.59 00:00,לא,מוגבלת,,2021,קיסריה,שחם,15,3088900,,ישראל,מבנה 27 פארק התעשייה,,07.02.2021,2021,2
510218100,מקורה בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,07.10.59 00:00,לא,מוגבלת,,2021,זכרון יעקב,חווה חקלאית,0,3090000,,ישראל,"חוות מקורה, אצל רילוב גיא",,29.03.2020,2020,3
